city,outage_date,duration_hours,affected_customers,cause
Bozeman,6/10/2022,10,14731,Storm damage
Helena,1/5/2022,24,34748,Storm damage
Bozeman,6/6/2022,9,51249,Equipment failure
Helena,12/6/2022,16,5840,Storm damage
Missoula,6/27/2022,15,10051,Storm damage
Billings,4/19/2022,2,16686,Equipment failure
Billings,8/13/2022,4,97883,Human error
Helena,7/10/2022,11,65569,Planned maintenance
Missoula,1/18/2022,18,21330,Planned maintenance
Helena,2/18/2022,13,26667,Planned maintenance
Great Falls,3/1/2022,9,78954,Storm damage
Helena,8/3/2022,24,52966,Human error
Helena,11/13/2022,8,73825,Equipment failure
Missoula,3/21/2022,1,47180,Planned maintenance
Billings,4/27/2022,10,78245,Human error
Great Falls,2/26/2022,1,74518,Planned maintenance
Helena,12/15/2022,10,48468,Planned maintenance
Billings,12/2/2022,16,74182,Storm damage
Bozeman,11/2/2022,1,91766,Storm damage
Bozeman,12/17/2022,21,96928,Human error
Missoula,5/5/2022,2,90609,Planned maintenance
Great Falls,1/23/2022,14,7307,Planned maintenance
Bozeman,11/5/2022,24,83829,Storm damage
Helena,11/23/2022,23,65485,Equipment failure
Bozeman,3/10/2022,5,34192,Equipment failure
Helena,9/9/2022,3,85440,Storm damage
Helena,4/24/2022,5,80600,Storm damage
Missoula,1/12/2022,24,2547,Planned maintenance
Missoula,12/27/2022,13,49280,Human error
Billings,6/7/2022,11,54354,Planned maintenance
Missoula,9/30/2022,22,5177,Equipment failure
Missoula,12/2/2022,12,59758,Storm damage
Bozeman,11/18/2022,17,15188,Human error
Great Falls,11/16/2022,1,21539,Planned maintenance
Bozeman,1/8/2022,9,23406,Planned maintenance
Bozeman,12/19/2022,3,95027,Equipment failure
Helena,8/7/2022,6,60001,Equipment failure
Billings,8/10/2022,2,37124,Human error
Billings,6/13/2022,2,40201,Equipment failure
Missoula,6/1/2022,14,49934,Planned maintenance
Great Falls,4/14/2022,13,75324,Human error
Helena,1/11/2022,24,71522,Equipment failure
Great Falls,7/22/2022,12,27822,Equipment failure
Bozeman,9/2/2022,16,69889,Storm damage
Missoula,12/18/2022,7,19902,Planned maintenance
Bozeman,11/13/2022,9,46134,Equipment failure
Billings,7/6/2022,18,37017,Equipment failure
Billings,3/18/2022,6,65446,Equipment failure
Great Falls,6/7/2022,3,55791,Equipment failure
Bozeman,3/16/2022,12,18328,Storm damage
Billings,11/3/2022,14,89376,Planned maintenance
Great Falls,12/1/2022,10,19843,Equipment failure
Bozeman,3/7/2022,2,99192,Planned maintenance
Bozeman,8/22/2022,23,45172,Equipment failure
Missoula,1/27/2022,13,81414,Equipment failure
Billings,11/8/2022,9,22119,Planned maintenance
Billings,6/11/2022,12,95314,Human error
Helena,8/3/2022,5,58791,Equipment failure
Great Falls,1/4/2022,20,35761,Human error
Billings,7/18/2022,4,71927,Human error
Helena,12/8/2022,11,60514,Equipment failure
Helena,7/26/2022,13,61339,Planned maintenance
Missoula,7/20/2022,2,1117,Equipment failure
Billings,3/4/2022,3,81003,Human error
Great Falls,6/11/2022,19,2477,Planned maintenance
Missoula,8/31/2022,6,56063,Human error
Billings,8/10/2022,23,19597,Storm damage
Billings,10/11/2022,24,87740,Storm damage
Great Falls,8/26/2022,20,12052,Storm damage
Missoula,1/3/2022,4,49306,Storm damage
Great Falls,3/12/2022,24,2861,Planned maintenance
Bozeman,6/21/2022,6,90584,Human error
Great Falls,1/14/2022,13,31804,Storm damage
Great Falls,4/9/2022,11,54826,Planned maintenance
Helena,2/15/2022,24,3235,Storm damage
Billings,9/28/2022,7,74919,Equipment failure
Great Falls,1/8/2022,20,26402,Equipment failure
Helena,3/20/2022,14,78329,Human error
Bozeman,6/27/2022,11,14132,Equipment failure
Great Falls,6/10/2022,22,7601,Planned maintenance
Missoula,10/18/2022,11,90451,Human error
Bozeman,4/24/2022,6,18616,Human error
Bozeman,1/15/2022,13,49249,Planned maintenance
Bozeman,10/19/2022,14,74775,Storm damage
Billings,8/17/2022,19,55721,Planned maintenance
Billings,12/11/2022,3,62402,Equipment failure
Great Falls,11/26/2022,7,95677,Equipment failure
Missoula,7/3/2022,4,7612,Storm damage
Bozeman,11/30/2022,15,29959,Storm damage
Missoula,6/5/2022,23,33674,Storm damage
Missoula,7/5/2022,10,74234,Human error
Helena,1/23/2022,20,99128,Planned maintenance
Bozeman,7/31/2022,2,39878,Planned maintenance
Bozeman,6/24/2022,24,84318,Storm damage
Missoula,6/3/2022,20,45220,Storm damage
Great Falls,4/4/2022,14,91800,Equipment failure
Missoula,3/18/2022,10,51574,Equipment failure
Missoula,3/19/2022,12,11079,Human error
Helena,6/10/2022,8,27292,Storm damage
Helena,3/20/2022,8,27181,Planned maintenance
Missoula,5/4/2022,10,24169,Planned maintenance
Missoula,9/30/2022,5,12394,Human error
Helena,7/8/2022,12,38447,Storm damage
Missoula,7/3/2022,7,18835,Storm damage
Great Falls,12/13/2022,12,89075,Equipment failure
Billings,12/3/2022,6,23503,Equipment failure
Helena,11/30/2022,21,13535,Storm damage
Missoula,8/18/2022,15,90945,Storm damage
Bozeman,9/22/2022,23,16375,Storm damage
Great Falls,11/12/2022,19,73884,Human error
Great Falls,11/10/2022,20,94244,Planned maintenance
Bozeman,9/14/2022,17,74006,Planned maintenance
Missoula,4/19/2022,19,17476,Human error
Bozeman,9/12/2022,23,85322,Equipment failure
Bozeman,9/20/2022,12,28758,Equipment failure
Helena,12/2/2022,17,56967,Storm damage
Great Falls,10/29/2022,4,11550,Equipment failure
Great Falls,10/30/2022,24,64190,Storm damage
Bozeman,10/16/2022,24,12181,Equipment failure
Missoula,9/4/2022,22,17632,Planned maintenance
Missoula,10/10/2022,7,16681,Planned maintenance
Great Falls,5/11/2022,17,62971,Equipment failure
Great Falls,6/22/2022,8,95688,Equipment failure
Missoula,4/23/2022,23,76651,Planned maintenance
Helena,4/17/2022,13,78913,Human error
Billings,11/15/2022,6,5606,Planned maintenance
Bozeman,6/4/2022,2,49710,Equipment failure
Billings,9/11/2022,24,40697,Human error
Billings,8/26/2022,20,29520,Storm damage
Great Falls,2/13/2022,19,35346,Storm damage
Missoula,5/2/2022,19,52053,Equipment failure
Missoula,6/30/2022,22,69000,Storm damage
Missoula,12/6/2022,8,27533,Equipment failure
Great Falls,1/12/2022,5,57279,Human error
Billings,7/14/2022,16,78142,Planned maintenance
Helena,7/31/2022,2,10254,Storm damage
Helena,1/25/2022,22,66951,Storm damage
Missoula,12/23/2022,19,41367,Equipment failure
Helena,7/16/2022,16,19361,Human error
Helena,1/22/2022,12,83340,Equipment failure
Bozeman,7/24/2022,8,76651,Planned maintenance
Helena,9/14/2022,24,39285,Planned maintenance
Billings,1/18/2022,2,16976,Human error
Missoula,10/28/2022,19,86866,Human error
Bozeman,3/31/2022,16,81485,Equipment failure
Bozeman,9/27/2022,8,40543,Human error
Billings,6/27/2022,24,76785,Human error
Bozeman,6/27/2022,10,93682,Storm damage
Great Falls,12/9/2022,2,98151,Human error
Helena,7/15/2022,18,72624,Storm damage
Bozeman,6/1/2022,19,8159,Storm damage
Great Falls,10/5/2022,9,97122,Planned maintenance
Missoula,3/25/2022,5,33809,Storm damage
Billings,8/31/2022,13,62862,Human error
Bozeman,7/9/2022,10,59223,Planned maintenance
Great Falls,6/2/2022,2,36594,Storm damage
Bozeman,12/15/2022,23,28699,Human error
Billings,4/4/2022,6,85118,Planned maintenance
Missoula,8/17/2022,8,99036,Storm damage
Bozeman,9/12/2022,6,98405,Human error
Bozeman,1/5/2022,14,39530,Equipment failure
Helena,5/27/2022,14,26569,Storm damage
Helena,9/17/2022,12,5170,Human error
Billings,7/2/2022,22,72391,Human error
Billings,6/20/2022,19,46524,Equipment failure
Missoula,4/3/2022,19,73435,Equipment failure
Great Falls,1/20/2022,4,63793,Equipment failure
Billings,5/18/2022,16,19636,Planned maintenance
Billings,10/11/2022,7,75415,Equipment failure
Bozeman,8/15/2022,14,12735,Storm damage
Great Falls,8/8/2022,11,24563,Equipment failure
Helena,5/20/2022,9,54400,Equipment failure
Great Falls,11/22/2022,21,31014,Planned maintenance
Great Falls,10/31/2022,8,38634,Equipment failure
Great Falls,11/16/2022,20,137,Equipment failure
Missoula,7/13/2022,10,1971,Storm damage
Helena,8/23/2022,9,87781,Equipment failure
Helena,4/29/2022,18,70208,Equipment failure
Missoula,5/7/2022,10,78157,Equipment failure
Helena,5/12/2022,6,3524,Human error
Great Falls,4/9/2022,15,43548,Equipment failure
Bozeman,9/3/2022,14,77695,Equipment failure
Great Falls,4/30/2022,9,90527,Human error
Billings,4/2/2022,3,42892,Equipment failure
Great Falls,1/28/2022,8,598,Planned maintenance
Billings,3/24/2022,24,86357,Equipment failure
Bozeman,8/31/2022,6,49977,Planned maintenance
Bozeman,1/21/2022,2,71564,Storm damage
Helena,8/9/2022,3,85779,Human error
Billings,11/15/2022,14,99195,Storm damage
Great Falls,12/30/2022,11,61869,Human error
Missoula,8/11/2022,17,72985,Equipment failure
Bozeman,3/25/2022,10,92695,Human error
Great Falls,6/26/2022,14,60954,Storm damage
Helena,5/17/2022,6,36209,Storm damage
Bozeman,7/3/2022,4,46463,Storm damage
Bozeman,12/6/2022,4,44410,Planned maintenance
Missoula,8/13/2022,23,14920,Storm damage
Missoula,1/6/2022,19,14230,Equipment failure
Helena,10/20/2022,21,70130,Planned maintenance
Missoula,9/19/2022,20,69386,Equipment failure
Great Falls,6/24/2022,19,29403,Planned maintenance
Missoula,10/10/2022,8,10200,Planned maintenance
Missoula,9/25/2022,24,38708,Equipment failure
Billings,11/21/2022,23,66640,Planned maintenance
Helena,7/25/2022,14,48430,Planned maintenance
Missoula,10/27/2022,18,26627,Planned maintenance
Helena,1/25/2022,19,49828,Storm damage
Missoula,7/23/2022,23,96607,Planned maintenance
Helena,6/3/2022,7,78993,Storm damage
Missoula,5/10/2022,18,48342,Storm damage
Great Falls,11/14/2022,1,7496,Planned maintenance
Billings,8/1/2022,23,10309,Storm damage
Billings,4/8/2022,18,87127,Equipment failure
Helena,3/24/2022,8,95383,Human error
Missoula,6/15/2022,6,63603,Storm damage
Billings,2/20/2022,4,27033,Storm damage
Bozeman,9/15/2022,10,23333,Planned maintenance
Great Falls,6/14/2022,5,23759,Equipment failure
Bozeman,3/13/2022,23,47413,Equipment failure
Missoula,3/15/2022,14,99192,Planned maintenance
Helena,10/6/2022,8,99225,Storm damage
Bozeman,6/2/2022,2,72658,Storm damage
Billings,12/27/2022,22,21299,Human error
Bozeman,6/12/2022,20,44510,Human error
Great Falls,4/2/2022,11,73931,Planned maintenance
Missoula,5/16/2022,11,88673,Planned maintenance
Bozeman,12/9/2022,18,17312,Human error
Helena,7/22/2022,1,30951,Equipment failure
Helena,2/17/2022,17,14877,Storm damage
Helena,3/29/2022,20,89415,Planned maintenance
Billings,11/16/2022,19,26171,Human error
Billings,9/20/2022,16,74573,Planned maintenance
Billings,3/19/2022,17,65889,Equipment failure
Great Falls,8/16/2022,21,99352,Equipment failure
Helena,3/12/2022,2,24405,Equipment failure
Helena,4/21/2022,18,30828,Storm damage
Great Falls,3/15/2022,4,27051,Equipment failure
Bozeman,1/30/2022,1,60309,Equipment failure
Missoula,7/29/2022,22,29650,Human error
Helena,2/17/2022,21,60438,Equipment failure
Missoula,7/28/2022,21,27309,Human error
Great Falls,5/26/2022,5,66211,Equipment failure
Missoula,3/5/2022,2,66914,Storm damage
Missoula,12/9/2022,23,19281,Planned maintenance
Great Falls,4/14/2022,19,3068,Human error
Bozeman,1/31/2022,11,55640,Equipment failure
Great Falls,3/16/2022,3,33538,Equipment failure
Great Falls,4/25/2022,22,99409,Human error
Great Falls,2/23/2022,2,55339,Storm damage
Great Falls,7/7/2022,13,89470,Human error
Helena,12/27/2022,22,44396,Planned maintenance
Missoula,11/16/2022,18,10293,Equipment failure
Missoula,7/27/2022,9,11912,Human error
Billings,7/9/2022,22,9738,Storm damage
Missoula,12/23/2022,12,43436,Equipment failure
Helena,1/12/2022,8,64399,Planned maintenance
Billings,8/11/2022,19,96989,Planned maintenance
Billings,8/20/2022,18,79626,Planned maintenance
Helena,12/26/2022,23,81008,Storm damage
Helena,9/17/2022,4,39801,Equipment failure
Great Falls,6/21/2022,22,52659,Human error
Great Falls,1/18/2022,9,34897,Planned maintenance
Billings,4/27/2022,5,34247,Equipment failure
Great Falls,6/17/2022,6,59528,Equipment failure
Billings,4/22/2022,15,79354,Human error
Great Falls,11/11/2022,22,57546,Equipment failure
Great Falls,3/1/2022,5,29461,Human error
Missoula,8/8/2022,24,73415,Planned maintenance
Missoula,11/10/2022,6,51604,Storm damage
Bozeman,4/13/2022,3,29696,Human error
Missoula,5/6/2022,21,39776,Storm damage
Bozeman,1/28/2022,8,4534,Human error
Missoula,7/28/2022,10,29972,Equipment failure
Great Falls,3/13/2022,22,70163,Equipment failure
Helena,9/26/2022,16,28519,Planned maintenance
Missoula,5/17/2022,11,34449,Equipment failure
Great Falls,7/24/2022,17,67746,Human error
Missoula,6/7/2022,24,56223,Human error
Helena,11/5/2022,22,447,Planned maintenance
Missoula,4/24/2022,16,74124,Human error
Billings,5/1/2022,15,19639,Planned maintenance
Billings,8/17/2022,7,30807,Equipment failure
Great Falls,3/16/2022,22,32438,Equipment failure
Billings,6/3/2022,23,83550,Human error
Helena,2/4/2022,1,61506,Equipment failure
Great Falls,4/26/2022,4,8873,Planned maintenance
Great Falls,3/12/2022,5,89670,Equipment failure
Helena,8/15/2022,19,68040,Human error
Billings,6/9/2022,18,14622,Human error
Billings,12/22/2022,5,1356,Storm damage
Bozeman,5/30/2022,17,56169,Human error
Helena,8/2/2022,17,58530,Planned maintenance
Billings,5/15/2022,16,86775,Planned maintenance
Missoula,10/18/2022,10,56917,Storm damage
Billings,6/24/2022,21,1672,Equipment failure
Bozeman,6/16/2022,1,1426,Equipment failure
Great Falls,11/30/2022,18,61035,Storm damage
Billings,5/31/2022,16,39393,Equipment failure
Great Falls,7/27/2022,17,76423,Human error
Billings,3/8/2022,2,61300,Storm damage
Great Falls,5/14/2022,3,24929,Human error
Helena,7/13/2022,23,24417,Storm damage
Great Falls,9/14/2022,11,50715,Planned maintenance
Billings,7/19/2022,20,19196,Planned maintenance
Great Falls,3/10/2022,14,70806,Planned maintenance
Bozeman,1/31/2022,2,12960,Equipment failure
Bozeman,12/1/2022,22,17567,Equipment failure
Helena,2/7/2022,4,93749,Human error
Missoula,4/2/2022,5,26036,Human error
Helena,5/22/2022,12,82298,Planned maintenance
Billings,7/20/2022,4,56977,Equipment failure
Missoula,2/28/2022,15,18491,Planned maintenance
Great Falls,4/1/2022,13,63461,Human error
Helena,5/8/2022,20,73856,Planned maintenance
Billings,7/15/2022,22,16259,Storm damage
Missoula,1/28/2022,15,82612,Human error
Billings,12/29/2022,12,1098,Storm damage
Missoula,5/3/2022,1,61693,Planned maintenance
Bozeman,2/18/2022,13,64966,Planned maintenance
Billings,10/9/2022,23,25942,Planned maintenance
Bozeman,5/17/2022,21,20926,Planned maintenance
Missoula,4/23/2022,16,62044,Equipment failure
Bozeman,11/6/2022,5,59451,Equipment failure
Billings,4/29/2022,4,96568,Human error
Missoula,9/21/2022,1,90752,Planned maintenance
Missoula,7/18/2022,2,61178,Storm damage
Bozeman,5/2/2022,8,3039,Human error
Billings,9/9/2022,5,65252,Storm damage
Billings,7/4/2022,16,50373,Human error
Billings,9/19/2022,19,77553,Storm damage
Billings,9/20/2022,12,17606,Equipment failure
Billings,9/27/2022,17,58720,Human error
Bozeman,3/22/2022,1,131,Storm damage
Missoula,1/23/2022,7,65197,Human error
Bozeman,6/24/2022,12,83974,Planned maintenance
Missoula,2/20/2022,12,45238,Equipment failure
Billings,4/27/2022,5,44841,Planned maintenance
Missoula,6/14/2022,13,78109,Storm damage
Bozeman,12/28/2022,14,828,Human error
Billings,7/7/2022,21,57487,Planned maintenance
Great Falls,1/29/2022,12,30790,Human error
Helena,4/13/2022,14,87444,Storm damage
Bozeman,4/21/2022,10,57287,Human error
Bozeman,12/6/2022,5,28258,Human error
Great Falls,9/21/2022,10,95528,Storm damage
Billings,3/23/2022,10,18631,Equipment failure
Great Falls,6/16/2022,11,88267,Storm damage
Billings,8/11/2022,10,58383,Equipment failure
Missoula,5/8/2022,21,91926,Storm damage
Bozeman,3/14/2022,21,94363,Human error
Great Falls,2/2/2022,12,97501,Equipment failure
Great Falls,11/28/2022,13,41071,Planned maintenance
Helena,11/5/2022,16,91863,Human error
Missoula,9/25/2022,14,33937,Planned maintenance
Bozeman,12/8/2022,20,7895,Storm damage
Missoula,3/6/2022,7,82364,Human error
Billings,7/18/2022,14,20730,Planned maintenance
Helena,9/26/2022,4,53528,Human error
Helena,12/6/2022,2,34221,Planned maintenance
Great Falls,12/27/2022,1,92690,Equipment failure
Bozeman,5/2/2022,4,22737,Human error
Great Falls,4/29/2022,10,97062,Storm damage
Missoula,5/4/2022,3,38542,Planned maintenance
Missoula,7/2/2022,11,89908,Storm damage
Bozeman,11/1/2022,15,91121,Equipment failure
Bozeman,9/9/2022,24,38462,Planned maintenance
Missoula,3/24/2022,11,48730,Equipment failure
Bozeman,4/15/2022,8,90821,Planned maintenance
Great Falls,5/1/2022,17,94878,Equipment failure
Bozeman,11/16/2022,23,38735,Storm damage
Helena,4/22/2022,17,37317,Planned maintenance
Bozeman,2/8/2022,1,18277,Human error
Great Falls,11/21/2022,23,52068,Storm damage
Billings,5/24/2022,11,98841,Storm damage
Missoula,7/3/2022,14,21623,Human error
Billings,7/1/2022,20,23624,Equipment failure
Great Falls,10/5/2022,19,16883,Equipment failure
Billings,8/29/2022,10,92039,Planned maintenance
Great Falls,1/1/2022,23,86980,Human error
Great Falls,10/18/2022,11,18453,Human error
Helena,10/12/2022,11,69503,Planned maintenance
Missoula,1/14/2022,16,95462,Storm damage
Great Falls,2/20/2022,17,62022,Planned maintenance
Missoula,1/5/2022,7,43962,Storm damage
Helena,6/7/2022,18,35836,Human error
Billings,1/23/2022,21,83808,Equipment failure
Helena,6/19/2022,17,67200,Storm damage
Missoula,8/15/2022,5,32789,Equipment failure
Great Falls,12/27/2022,15,71224,Storm damage
Bozeman,12/16/2022,10,39245,Planned maintenance
Billings,4/2/2022,1,66713,Equipment failure
Great Falls,8/27/2022,21,87511,Human error
Great Falls,3/15/2022,12,88289,Planned maintenance
Billings,11/7/2022,16,11223,Planned maintenance
Helena,4/15/2022,8,78859,Equipment failure
Helena,3/27/2022,2,44342,Planned maintenance
Billings,12/13/2022,18,24128,Planned maintenance
Helena,7/15/2022,13,13459,Storm damage
